"rep","mode","conv","nll","secs","alpha0_2","alpha0_3","alpha0_4","alpha0_5","alpha1_1","alpha1_2","og_E","log_c_bar","K_mean"
1,"zK",0,3102.40050797865,127.433564186096,-0.396576727518063,-0.779916835739314,0.575486493484948,0.940630812116159,1.4867392991041,-0.939372854666113,2.55265777343224,-0.73134694170064,1.605
1,"znext",0,3031.83210936386,128.304836034775,-0.410267492711012,-0.820704301545437,0.596111843473416,0.966628072076218,1.5328746627034,-0.976460801397736,2.65501237904361,-0.624064904640873,1.605
2,"zK",0,2996.5871893562,130.163462877274,-0.540734547547051,-0.866521919595724,0.466031145328148,0.796365511403442,1.53634511398206,-1.02720115195857,2.54049775987049,-0.612284694354959,1.573
2,"znext",0,2915.58721990533,133.351592063904,-0.547058496039158,-0.894836018758468,0.487112683650407,0.822438978446091,1.5927444240213,-1.05535148337798,2.6514835324879,-0.488331118666897,1.573
3,"zK",0,3046.95669992269,138.540370941162,-0.494414385840588,-0.76240991320738,0.51208227312367,0.857516292041748,1.529485677661,-0.945420983242117,2.44623516318151,-0.650959284824415,1.586
3,"znext",0,2966.43271226592,127.507078170776,-0.506132715084688,-0.788030566733564,0.529872001301381,0.883328462550275,1.5829641955886,-0.982410466349955,2.56267856098291,-0.541199615098294,1.586
4,"zK",0,3070.02530670629,133.453897953033,-0.557161906037606,-0.888371342175416,0.540527288898384,0.791518349986466,1.47553515099164,-0.968111079435498,2.4522343478363,-0.669551970930572,1.598
4,"znext",0,2997.33032989259,134.305577993393,-0.583463769756064,-0.929362468054678,0.562674777053928,0.81103711207291,1.51569672798579,-0.984568688399095,2.52162854788968,-0.555407050209454,1.598
5,"zK",0,3101.34740433393,126.440766096115,-0.503591801051866,-0.74445637248027,0.503715995365253,0.758535817428241,1.44638414055757,-1.01069694556655,2.45425491069993,-0.680979783410182,1.59
5,"znext",0,3020.57041021691,128.567990064621,-0.521382199539345,-0.794371932673263,0.535010130965332,0.788369870611797,1.50464858064562,-1.03934827385949,2.57529470029692,-0.569016265831216,1.59
6,"zK",0,3026.93999333937,126.139994859695,-0.596742333376046,-0.755304431165994,0.564084394062334,0.778698889891885,1.56446314916215,-1.07468540032124,2.56513421817764,-0.630969565150592,1.593
6,"znext",0,2947.15744468491,142.129320859909,-0.620013938118907,-0.770758845789939,0.584566955838076,0.800629556041047,1.60552684664322,-1.08838408611709,2.63024938571671,-0.50921646470638,1.593
7,"zK",0,3160.26267555453,141.978559017181,-0.483291571690071,-0.756139100416504,0.487505757113557,0.764725376054123,1.49495553830734,-1.12980803527486,2.58877682643081,-0.608285492952707,1.599
7,"znext",0,3079.48474826274,134.805999040604,-0.501961386297759,-0.802269306106152,0.498727565274763,0.775778691549137,1.54851788144594,-1.18884707254887,2.71727284012753,-0.493612484675892,1.599
8,"zK",0,3072.11370461482,127.852886915207,-0.577610448402328,-0.749693191082944,0.525567812878712,0.813103178040258,1.49904831389898,-1.09961896660969,2.66738725380112,-0.675885945508439,1.586
8,"znext",0,2998.38381199764,129.585842847824,-0.614934070838869,-0.781556801984049,0.526671344351351,0.825498305623641,1.53607902690298,-1.11970340262827,2.72935757145922,-0.563966006991567,1.586
9,"zK",0,3083.42514528605,127.321969032288,-0.490931704720886,-0.945206991700248,0.469316930348557,0.797694896612286,1.50426658013377,-0.870325450156543,2.41907204347762,-0.649445855066892,1.586
9,"znext",0,2987.73011392856,135.000859975815,-0.511622388015481,-0.984034357434864,0.500267988092727,0.837448617239903,1.57514250377737,-0.91291128467168,2.56972962654608,-0.514440991059604,1.586
10,"zK",0,3095.36359899164,138.361953020096,-0.54053639297098,-0.833406387294622,0.43006579497143,0.739435234434379,1.48672845464226,-0.953896006798237,2.48429362920743,-0.68337412962973,1.593
10,"znext",0,3019.5856693049,131.541355133057,-0.555195161845012,-0.857597618338313,0.451002607282472,0.759381678259291,1.5311416821099,-0.978405577231997,2.57411754375918,-0.569549976121505,1.593
11,"zK",0,3058.3565383019,132.100322008133,-0.489582235441445,-0.864258187164408,0.488401012192956,0.768060118790562,1.51836805210346,-1.10011521031313,2.46996567622895,-0.557507622376255,1.577
11,"znext",0,2976.0042373806,134.475660800934,-0.513942467735091,-0.877223567953476,0.509173129864202,0.805211975370615,1.58207855066058,-1.17683567268498,2.64270195474317,-0.438914504990986,1.577
12,"zK",0,3061.55944031748,127.620091915131,-0.413763847375843,-0.759169885342649,0.511756877429177,0.818506781285207,1.51824403396786,-1.07503086341265,2.51148412055563,-0.606665653040769,1.591
12,"znext",0,2968.70423813102,127.670281171799,-0.42355145799947,-0.802350098348316,0.543848412035666,0.86318429286438,1.59181715993535,-1.10633157291212,2.6558137085786,-0.474684935050096,1.591
13,"zK",0,3014.30948227155,126.172970056534,-0.59994897732815,-0.835261862516758,0.516323880272999,0.819819194357114,1.51363047115297,-1.07554528295941,2.52045550487893,-0.669272330909842,1.584
13,"znext",0,2934.31651083813,144.085881948471,-0.623526812050359,-0.877482900763477,0.533427005794415,0.841815444227044,1.56292737006646,-1.11349100072498,2.6232504625401,-0.557637551031009,1.584
14,"zK",0,3100.49075682635,135.604129076004,-0.474896638521695,-0.781452633552079,0.511432683761085,0.799091336431295,1.43815774331136,-1.04762462446007,2.53041780979653,-0.647668338774927,1.585
14,"znext",0,3036.37380859892,131.308820009232,-0.490061644671209,-0.798947414615012,0.528881196636426,0.812452525179951,1.46937078477937,-1.06866227381937,2.59074935492776,-0.547044004807251,1.585
15,"zK",0,3186.05851029992,135.012097835541,-0.363815727082893,-0.75812987444501,0.535277736381459,0.873306333583457,1.45344454904698,-1.08545546552323,2.60760118739406,-0.80655549658517,1.653
15,"znext",0,3105.93844237441,137.816940069199,-0.379551543440014,-0.790185478953634,0.549229236705485,0.897753991286737,1.50815441029451,-1.09341541691581,2.69473617458851,-0.685923677135187,1.653
16,"zK",0,3253.90734756298,129.778670072556,-0.557884404525025,-0.845228942737049,0.408636512438618,0.684388418346891,1.47240479882202,-1.00200932938707,2.46769340330418,-0.755880754288524,1.643
16,"znext",0,3160.20561008346,134.665385961533,-0.575988580767865,-0.868567850738215,0.421102720207119,0.711232543206821,1.51640635197022,-1.03008318121456,2.54430836735272,-0.605324080671066,1.643
17,"zK",0,3075.7315042492,127.846050024033,-0.447605808140693,-0.828626984712913,0.597708124537832,0.81703848618528,1.5689502107254,-1.05721528316465,2.82136318612908,-0.715306834462725,1.595
17,"znext",0,2995.46676238615,139.143838882446,-0.471594362197071,-0.86906086978285,0.605698396139997,0.828920801692648,1.62481378310056,-1.08731132834631,2.91820129246694,-0.591957102141085,1.595
18,"zK",0,3088.98237125737,138.117372989655,-0.482866066963932,-0.799216869003466,0.56581467603936,0.796879646221657,1.52602053557169,-0.964680502084444,2.47568250724387,-0.68094972572628,1.591
18,"znext",0,3026.77953209695,138.139310836792,-0.493205406111572,-0.820701472110555,0.577955649312986,0.817344812981156,1.57007628005966,-0.990481662200145,2.56370551725882,-0.585687443497609,1.591
19,"zK",0,3172.94240467675,131.383832931519,-0.630992006165959,-0.810353962192731,0.492486645809069,0.77459918752335,1.4295909117736,-1.04912831824306,2.54311625536942,-0.786415369132253,1.642
19,"znext",0,3086.00790152624,131.673547029495,-0.645637435154552,-0.844120682236111,0.509494810266974,0.804940813692948,1.47027533179665,-1.08607157616241,2.63307021818636,-0.653021887549266,1.642
20,"zK",0,3212.55242329859,125.010039806366,-0.541711092372813,-0.913217909478766,0.475676365716454,0.712613203965356,1.39460878456531,-1.08380415311946,2.43288762247948,-0.74562146296528,1.638
20,"znext",0,3134.9303980482,132.028095006943,-0.546174494074918,-0.933269363765902,0.496043586755199,0.73906640796695,1.44681752073004,-1.11924762538602,2.54797697750742,-0.628717416677467,1.638
21,"zK",0,3044.61789292814,142.976564884186,-0.519512283648104,-0.876186012867577,0.551054902411478,0.786402327221955,1.48314704957373,-1.05284555899457,2.443130430306,-0.674846582049493,1.591
21,"znext",0,2979.20576477459,139.893455028534,-0.547583249571122,-0.904910442435554,0.577276706657134,0.81666743963534,1.52469644736407,-1.07704894932471,2.53147981909737,-0.579398347432268,1.591
